属性,说明
string fileId,文件唯一标识符
string uri,文件链接，上传文件可获得
string path,文件本地路径，发送时表明发送文件路径，接收时表明文件下载保存路径
JCStorageItemDirection direction,上传还是下载，参见 JCStorageDirection
JCStorageItemState state,传输状态，参见 JCStorageState
JCStorageReason error,错误码，当文件状态为Fail时有效
int progress,文件传输进度
int cookie,文件cookie
